"No.","Time","Source","Destination","Protocol","Length","Info"
"960688","6067.549387","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","23","Sent Vendor dependent: Status - GetCapabilities(Events Supported)"
"960689","6067.553702","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","23","Rcvd Vendor dependent: Status - GetCapabilities(Events Supported)"
"960690","6067.553872","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","32","Sent Vendor dependent: Stable - GetCapabilities(Events Supported) - Count: 8"
"960693","6067.563578","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","26","Rcvd Vendor dependent: Stable - GetCapabilities(Events Supported) - Count: 2"
"960694","6067.563732","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"960695","6067.566237","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","27","Rcvd Vendor dependent: Notify - RegisterNotification - PlaybackStatusChanged"
"960696","6067.566387","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","24","Sent Vendor dependent: Interim - RegisterNotification - PlaybackStatusChanged - PlayStatus: Stopped"
"960698","6067.569977","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 25%"
"961074","6071.226344","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"961075","6071.226676","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"961077","6071.230090","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"961078","6071.230370","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"961443","6073.930070","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 18%"
"961469","6074.158870","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"961495","6074.428823","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 18%"
"961525","6074.636372","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 25%"
"961554","6074.837859","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"961575","6075.042517","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 31%"
"962114","6079.264016","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"962120","6079.283902","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"962142","6079.441886","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"962154","6079.551874","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"962247","6080.277657","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"962252","6080.301380","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"962273","6080.461874","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"962274","6080.461878","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"962634","6082.495155","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 37%"
"962635","6082.495518","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"962644","6082.503681","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 37%"
"962693","6082.804972","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 44%"
"962694","6082.805308","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"962702","6082.813903","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 50%"
"962762","6083.123699","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 56%"
"962763","6083.124028","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"962771","6083.132657","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 56%"
"963843","6088.888923","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 62%"
"963866","6089.076003","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"963890","6089.277679","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 69%"
"963898","6089.321389","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"963925","6089.502017","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"963952","6089.710258","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 88%"
"963985","6089.908964","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"964014","6090.063061","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"964037","6090.243939","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 100%"
"964091","6090.626393","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"964121","6090.852024","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"964147","6091.081479","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 81%"
"964389","6093.031482","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"964395","6093.077704","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"964413","6093.214041","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"964424","6093.328083","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"964700","6095.610287","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"964704","6095.632770","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"964726","6095.791099","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"964728","6095.812073","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"965174","6098.668869","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"965175","6098.669235","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"965176","6098.671522","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"965177","6098.671775","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"965711","6101.398991","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"965712","6101.399313","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"965722","6101.413957","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 75%"
"965724","6101.416412","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 69%"
"965725","6101.416690","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"965733","6101.425223","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 69%"
"966176","6103.615290","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"966177","6103.615587","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"966202","6103.820286","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 75%"
"966218","6103.933981","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 81%"
"966245","6104.116141","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"966270","6104.296487","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 88%"
"966277","6104.341562","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"966300","6104.497196","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"966324","6104.696485","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 100%"
"967737","6114.849188","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"967738","6114.849440","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967748","6114.865204","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 94%"
"967803","6115.167608","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 88%"
"967804","6115.167910","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"967811","6115.181574","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 81%"
