"No.","Time","Source","Destination","Protocol","Length","Info"
"936062","5843.897702","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","23","Sent Vendor dependent: Status - GetCapabilities(Events Supported)"
"936099","5843.987227","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","27","Rcvd Vendor dependent: Notify - RegisterNotification - PlaybackStatusChanged"
"936100","5843.987263","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","24","Sent Vendor dependent: Interim - RegisterNotification - PlaybackStatusChanged - PlayStatus: Stopped"
"936101","5843.989883","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","25","Rcvd Vendor dependent: Stable - GetCapabilities(Events Supported) - Count: 1"
"936102","5843.989943","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"936123","5844.012405","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 59%"
"937833","5853.956223","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 52%"
"937852","5854.111696","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"937862","5854.223719","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 46%"
"937874","5854.361252","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 46%"
"937889","5854.472629","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 39%"
"937911","5854.632678","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"937933","5854.812522","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 39%"
"938383","5858.546268","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 33%"
"938407","5858.704730","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"938437","5858.866305","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 33%"
"938926","5861.937355","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 25%"
